ORDER_ID|CUSTOMER_ID|ORDER_DATE|SHIPPING_DATE|PRODUCT_ID|PRODUCT_CATEGORY|NAME|GENDER|STREET_ADDRESS|CITY|STATE|POSTAL_CODE|COUNTRY
1000001|9|10/06/2017|10/11/2017|994|PET WATER FILTERS|VIRAJ SHAKUR|FEMALE|"69734 E CARRILLO ST"|WARREN|TN|37110|US
1000002|6|03/08/2017|03/10/2017|1002|AUTO OIL FILTERS|EDITH BUNKER|FEMALE|"86 TRESS FALLS ST"|TORONTO|ON|M4C 1R1|CA
1000003|16|03/15/2017|03/22/2017|995|WATER FILTERS|SHAWN CHACON|MALE|"6 ARCH ST #9757"|RED DEER|AB|T4R 2H5|CA
1000006|8|06/12/2017|06/16/2017|993|PET WATER FILTERS|JENNIFER GARETH|FEMALE|"73 STATE ROAD 434 E"|MARICOPA|AZ|85013|US
1000007|7|03/14/2017|03/19/2017|997|WATER FILTERS|LAKSHMI ROHANNA|FEMALE|"25 E 75TH ST"|LOS ANGELES|CA|90034|US
1000008|5|06/20/2017|06/26/2017|1002|AUTO OIL FILTERS|GEERT ORWELL|MALE|"10 PARK ST"|BUTLER|OH|45011|US
1000009|10|09/26/2017|09/27/2017|1001|AUTO AIR FILTERS|SUN WONG|FEMALE|"10 WESTMINSTER ST"|SOMERVILLE|MA|02144|US
1000010|5|08/23/2017|08/29/2017|998|WATER FILTERS|GEERT ORWELL|MALE|"10 PARK ST"|BUTLER|OH|45011|US
1000012|11|06/09/2017|06/13/2017|994|PET WATER FILTERS|SUDHIR ABBOGOTTU|MALE|"10276 BROOKS ST"|SAN FRANCISCO|CA|94105|US
1000013|14|07/16/2017|07/18/2017|1002|AUTO OIL FILTERS|BROOKE MILES|FEMALE|"63 SMITH LN #8343"|CLAY|TN|38575|US
1000014|18|07/02/2017|07/05/2017|999|HOME AIR FILTERS|KEITH ELLINGTON||"13 GUNNISON ST"|PLANO|TX|75075|US
1000015|7|01/12/2017|01/17/2017|1001|AUTO AIR FILTERS|LAKSHMI ROHANNA|FEMALE|"25 E 75TH ST"|LOS ANGELES|CA|90034|US
1000016|9|03/22/2017|03/24/2017|995|WATER FILTERS|VIRAJ SHAKUR|FEMALE|"69734 E CARRILLO ST"|WARREN|TN|37110|US
1000017|11|12/28/2017|12/31/2017|993|PET WATER FILTERS|SUDHIR ABBOGOTTU|MALE|"10276 BROOKS ST"|SAN FRANCISCO|CA|94105|US
1000018|2|12/12/2017|12/19/2017|999|HOME AIR FILTERS|JEANNE FITZGERALD|FEMALE|"4 B BLUE RIDGE BLVD"|LIVINGSTON|MI|48116|US
1000019|4|01/25/2017|01/28/2017|995|WATER FILTERS|REBECCA ATKINSON|FEMALE|"639 MAIN ST"|ANCHORAGE|AK|99501|US
1000020|16|01/23/2017|01/24/2017|999|HOME AIR FILTERS|SHAWN CHACON|MALE|"6 ARCH ST #9757"|RED DEER|AB|T4R 2H5|CA
1000021|9|05/30/2017|06/03/2017|999|HOME AIR FILTERS|VIRAJ SHAKUR|FEMALE|"69734 E CARRILLO ST"|WARREN|TN|37110|US
1000022|20|03/22/2017|03/28/2017|996|WATER FILTERS|MINOO ATAYESH|FEMALE|"5 E TRUMAN RD"|ABILENE|TX|79602|US
1000023|15|02/24/2017|02/25/2017|999|HOME AIR FILTERS|ROGER MOORESON|MALE|"55713 LAKE CITY HWY"|SOUTH BEND|IN|46601|US
1000024|11|05/30/2017|06/04/2017|993|PET WATER FILTERS|SUDHIR ABBOGOTTU|MALE|"10276 BROOKS ST"|SAN FRANCISCO|CA|94105|US
1000025|12|12/26/2017|12/27/2017|998|WATER FILTERS|ALICE WELLS|FEMALE|"1 WASHINGTON ST"|PALM BEACH|FL|33461|US
1000026|3|08/27/2017|09/01/2017|1000|AUTOMOTIVE FILTERS|SAMANTHA POWERS|FEMALE|"8 W CERRITOS AVE #54"|GLOUCESTER|NJ|08014|US
1000027|2|04/24/2017|04/27/2017|997|WATER FILTERS|JEANNE FITZGERALD|FEMALE|"4 B BLUE RIDGE BLVD"|LIVINGSTON|MI|48116|US
